year,temperature_change
2004,0.0
2005,-1.764000000000003
2006,0.2205000000000012
2007,-0.2880000000000038
2008,2.596500000000006
2009,-2.5290000000000106
2010,2.4480000000000075
2011,-0.5130000000000052
2012,-1.0799999999999983
2013,0.508499999999998
2014,-1.7459999999999951
2015,1.5570000000000022
2016,-0.373500000000007
2017,0.4274999999999949
2018,-0.6839999999999833
2019,0.5174999999999983
2020,0.8729999999999905
2021,-1.1744999999999948
2022,1.1565000000000083
2023,0.1619999999999919
2024,-1.8674999999999995
2025,1.3770000000000024
2026,0.4274999999999949
